Entry	Entry name
Q9UM28	Q9UM28_HUMAN
X5D2U9	X5D2U9_HUMAN
A0A1B1CX38	A0A1B1CX38_HUMAN
A0A1B1CX40	A0A1B1CX40_HUMAN
A0A1B1CX41	A0A1B1CX41_HUMAN
A0A1B1CX42	A0A1B1CX42_HUMAN
A0A1B1CX43	A0A1B1CX43_HUMAN
A0A1B1CX44	A0A1B1CX44_HUMAN
A0A1B1CX45	A0A1B1CX45_HUMAN
A0A1B1CX46	A0A1B1CX46_HUMAN
A0A1B1CX47	A0A1B1CX47_HUMAN
A0A1B1CX48	A0A1B1CX48_HUMAN
A0A1B1CX49	A0A1B1CX49_HUMAN
A0A1B1CX50	A0A1B1CX50_HUMAN
A0A1B1CX51	A0A1B1CX51_HUMAN
A0A1B1CX53	A0A1B1CX53_HUMAN
A0A1B1CX54	A0A1B1CX54_HUMAN
A0A1B1CX55	A0A1B1CX55_HUMAN
A0A1B1CX56	A0A1B1CX56_HUMAN
A0A1B1CX57	A0A1B1CX57_HUMAN
A0A1B1CX58	A0A1B1CX58_HUMAN
A0N998	A0N998_HUMAN
A0N9A0	A0N9A0_HUMAN
A0N9A1	A0N9A1_HUMAN
A0N9A2	A0N9A2_HUMAN
A0N9A3	A0N9A3_HUMAN
A0N9A4	A0N9A4_HUMAN
B6DST0	B6DST0_HUMAN
