interaction_id	a_alias	b_alias	a_id	b_id
699301	P10912	P35568	1240138	3143545
699380	P12931	XP_005246873	863768	1004542
699640	P16070	P09237	3739030	4966191
699837	P29466-4	Q13153	1923050	4004555
700589	P21980	P15531	3985867	4424305
701211	P10145	P13236	1033686	1714665
701454	XP_005246873	P42345	1004542	5142994
701547	Q9NT22	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	387497	701547
701547	Q14145	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	489608	701547
701547	P55084	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	567051	701547
701547	Q9NX00	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	633619	701547
701547	P22413	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	635950	701547
701547	O75487	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	696259	701547
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q86Y46	701547	701992
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q96TA2	701547	749702
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q12797	701547	890314
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	E5KSY5	701547	1120749
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q8TDH9	701547	1198885
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	P19013	701547	1291828
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9H3H9	701547	1305946
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9Y5Q9	701547	1382509
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9H4B6	701547	1572217
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	E9KL44	701547	1609364
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q92896	701547	1952111
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	P08670	701547	2053332
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	O60716	701547	2215931
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q16352	701547	2301430
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q14657	701547	2341683
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q16543	701547	2348958
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9BPX6	701547	2370432
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9Y6N1	701547	2416014
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9NUJ1	701547	2446552
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	O75419	701547	2679977
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q7L3T8	701547	2695676
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9BZF1	701547	2793958
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9BPW8	701547	3081518
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q13501	701547	3502869
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q8IYU8	701547	3712302
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9NVH6	701547	3716289
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	P04083	701547	3719914
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9H078	701547	3750560
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q5JTW2	701547	3767369
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q14596	701547	3921852
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	O75323	701547	4022643
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q13188	701547	4056662
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q16718	701547	4135693
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q96CB9	701547	4201090
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9P035	701547	4308451
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q96DV4	701547	4325489
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9UBG3	701547	4418354
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	P41743	701547	4487727
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9P265	701547	4815056
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	P82933	701547	4889149
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9NP81	701547	4945848
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9UM22	701547	4968639
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9BVS5	701547	4977111
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q13043	701547	5124712
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q15149	701547	5157888
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9H3N1	701547	5199852
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	O75306	701547	5277093
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q7KZI7	701547	5344687
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q12789	701547	5406611
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	O14757	701547	9148484
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	P07197	701547	9148667
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	P58107	701547	9442847
701547	complex:7y3ca3t12SHCixpOS5N1nP2tOgg	Q9Y4B4	701547	9443110
