interaction_id	a_alias	b_alias	a_id	b_id
716376	complex:9pZTOsVd4zzZsRDqQK1J7LTWPVE	Q99996	716376	2444766
716376	complex:9pZTOsVd4zzZsRDqQK1J7LTWPVE	P31323	716376	3490749
716376	complex:9pZTOsVd4zzZsRDqQK1J7LTWPVE	P36873	716376	4122724
716376	complex:9pZTOsVd4zzZsRDqQK1J7LTWPVE	P62140	716376	4592714
716376	complex:9pZTOsVd4zzZsRDqQK1J7LTWPVE	P51787	716376	4644422
716690	Q13094	O15117	2970254	9378664
716800	AAB50242	P37231	2145504	2201336
716804	O15111	P35568	1960612	3143545
716865	P11940	Q92597	4926237	5176863
717709	XP_005252625	P37231-3	606258	2201336
718245	P29353	P35568	1871880	3143545
718432	Q93084-3	P35568	206436	3143545
720101	P17844	Q92597	1247513	5176863
720219	P37231	P08238	2201336	4732923
721514	NP_066289	XP_005269939	2068280	3351727
721539	complex:A7obg4g0j2PnTBP5dN7YIG/5vwQ	P35568	721539	3143545
721539	complex:A7obg4g0j2PnTBP5dN7YIG/5vwQ	P27986	721539	3503650
721539	complex:A7obg4g0j2PnTBP5dN7YIG/5vwQ	Q07666	721539	3573425
721539	complex:A7obg4g0j2PnTBP5dN7YIG/5vwQ	P06213	721539	9769294
721603	Q13191	P35568	1403224	3143545
721612	P14780	complex:a7wI45//YfZJZsvk1oA73ZaxSAg	221385	721612
721612	complex:a7wI45//YfZJZsvk1oA73ZaxSAg	P01033	721612	3497176
721612	complex:a7wI45//YfZJZsvk1oA73ZaxSAg	Q07954	721612	9441770
721769	A8K379	P21854	4083603	4838688
722532	P33765	P29992	2251588	4166168
722694	O75376	P15036	899063	3043915
722857	Q15181	P36871	250775	2673990
723188	P49674	Q99996-6	1795737	2444766
724280	Q03692	P08758	1621747	4535951
724319	Q5TD97	Q03060-17	1150008	11792364
724393	P22607	Q75LH2	656326	2553613
725435	F1D8Q5	P37231	2071127	2201336
